feature,score,Linear,K-Nearest,Support Vector,Random Forest,AdaBoost
C3D,mean,0.114,0.064,0.093,0.13,0.113
C3D,std,0.019,0.027,0.016,0.015,0.009
HMP,mean,-0.008,0.06,0.111,0.114,0.079
HMP,std,0.029,0.031,0.025,0.014,0.024
LBP,mean,0.057,0.038,0.078,0.107,0.066
LBP,std,0.012,0.017,0.03,0.027,0.034
C3D + LBP,mean,0.082,0.033,0.094,0.144,0.107
C3D + LBP,std,0.015,0.015,0.041,0.023,0.018
C3D + HMP,mean,-0.007,0.064,0.114,0.133,0.09
C3D + HMP,std,0.032,0.013,0.021,0.02,0.02
LBP + HMP,mean,-0.005,0.044,0.112,0.114,0.079
LBP + HMP,std,0.027,0.015,0.029,0.032,0.035
